; RCP8.5 CO2 concentrations in ppm,
2172,1636.3423
2173,1644.6544
2174,1652.8621
2175,1660.9472
2176,1668.8714
2177,1676.6491
2178,1684.3479
2179,1691.9855
2180,1699.5543
2181,1707.0542
2182,1714.4671
2183,1721.7857
2184,1728.9986
2185,1736.073
2186,1743.0204
2187,1749.8272
2188,1756.4845
2189,1763.0469
2190,1769.542
2191,1775.972
2192,1782.3281
2193,1788.5985
2194,1794.7605
2195,1800.7999
2196,1806.7334
2197,1812.5201
2198,1818.1423
2199,1823.6498
2200,1829.0556
2201,1834.3733
2202,1839.6122
2203,1844.7812
2204,1849.8682
2205,1854.849
2206,1859.7106
2207,1864.4469
2208,1869.0362
2209,1873.4672
2210,1877.784
2211,1881.9947
2212,1886.1097
2213,1890.1554
2214,1894.1313
2215,1898.0123
2216,1901.7766
2217,1905.4235
2218,1908.9603
2219,1912.3445
2220,1915.5465
2221,1918.6217
2222,1921.6126
2223,1924.5227
2224,1927.352
2225,1930.1
2226,1932.7513
2227,1935.2926
2228,1937.7127
2229,1940.0103
2230,1942.1583
2231,1944.1572
2232,1946.0278
2233,1947.7762
2234,1949.4392
2235,1951.0121
2236,1952.5138
2237,1953.9433
2238,1955.2718
2239,1956.4604
2240,1957.4929
2241,1958.428
2242,1959.1897
2243,1959.7707
2244,1960.2847
2245,1960.7288
2246,1961.0674
2247,1961.3194
2248,1961.4957
2249,1961.5683
2250,1961.5774
2251,1961.5774
2252,1961.5774
2253,1961.5774
2254,1961.5774
2255,1961.5774
2256,1961.5774
2257,1961.5774
2258,1961.5774
2259,1961.5774
2260,1961.5774
2261,1961.5774
2262,1961.5774
2263,1961.5774
2264,1961.5774
2265,1961.5774
2266,1961.5774
2267,1961.5774
2268,1961.5774
2269,1961.5774
2270,1961.5774
2271,1961.5774
2272,1961.5774
2273,1961.5774
2274,1961.5774
2275,1961.5774
2276,1961.5774
2277,1961.5774
2278,1961.5774
2279,1961.5774
2280,1961.5774
2281,1961.5774
2282,1961.5774
2283,1961.5774
2284,1961.5774
2285,1961.5774
2286,1961.5774
2287,1961.5774
2288,1961.5774
2289,1961.5774
2290,1961.5774
2291,1961.5774
2292,1961.5774
2293,1961.5774
2294,1961.5774
2295,1961.5774
2296,1961.5774
2297,1961.5774
2298,1961.5774
2299,1961.5774
2300,1961.5774
