; total RF including volcanic from MAGICC6 RCP45,
2023,2.70E+00
2024,2.75E+00
2025,2.79E+00
2026,2.83E+00
2027,2.87E+00
2028,2.91E+00
2029,2.95E+00
2030,3.00E+00
2031,3.04E+00
2032,3.08E+00
2033,3.12E+00
2034,3.16E+00
2035,3.20E+00
2036,3.24E+00
2037,3.28E+00
2038,3.32E+00
2039,3.36E+00
2040,3.40E+00
2041,3.43E+00
2042,3.47E+00
2043,3.51E+00
2044,3.54E+00
2045,3.58E+00
2046,3.61E+00
2047,3.65E+00
2048,3.68E+00
2049,3.71E+00
2050,3.74E+00
2051,3.77E+00
2052,3.80E+00
2053,3.83E+00
2054,3.85E+00
2055,3.88E+00
2056,3.90E+00
2057,3.92E+00
2058,3.95E+00
2059,3.97E+00
2060,3.99E+00
2061,4.01E+00
2062,4.03E+00
2063,4.05E+00
2064,4.06E+00
2065,4.08E+00
2066,4.09E+00
2067,4.11E+00
2068,4.12E+00
2069,4.13E+00
2070,4.14E+00
2071,4.15E+00
2072,4.16E+00
2073,4.17E+00
2074,4.18E+00
2075,4.18E+00
2076,4.19E+00
2077,4.19E+00
2078,4.20E+00
2079,4.20E+00
2080,4.20E+00
2081,4.20E+00
2082,4.20E+00
2083,4.19E+00
2084,4.19E+00
2085,4.19E+00
2086,4.20E+00
2087,4.20E+00
2088,4.20E+00
2089,4.20E+00
2090,4.20E+00
2091,4.21E+00
2092,4.21E+00
2093,4.21E+00
2094,4.22E+00
2095,4.22E+00
2096,4.22E+00
2097,4.23E+00
2098,4.23E+00
2099,4.24E+00
2100,4.24E+00
2101,4.25E+00
2102,4.25E+00
2103,4.25E+00
2104,4.26E+00
2105,4.26E+00
2106,4.26E+00
2107,4.27E+00
2108,4.27E+00
2109,4.27E+00
2110,4.27E+00
2111,4.28E+00
2112,4.28E+00
2113,4.28E+00
2114,4.28E+00
2115,4.28E+00
2116,4.28E+00
2117,4.28E+00
2118,4.28E+00
2119,4.28E+00
2120,4.28E+00
2121,4.28E+00
2122,4.28E+00
2123,4.28E+00
2124,4.28E+00
2125,4.28E+00
2126,4.28E+00
2127,4.28E+00
2128,4.28E+00
2129,4.28E+00
2130,4.28E+00
2131,4.28E+00
2132,4.28E+00
2133,4.28E+00
2134,4.28E+00
2135,4.28E+00
2136,4.28E+00
2137,4.28E+00
2138,4.28E+00
2139,4.28E+00
2140,4.28E+00
2141,4.28E+00
2142,4.28E+00
2143,4.28E+00
2144,4.28E+00
2145,4.28E+00
2146,4.28E+00
2147,4.28E+00
2148,4.28E+00
2149,4.28E+00
2150,4.28E+00
2151,4.28E+00
2152,4.27E+00
2153,4.27E+00
2154,4.27E+00
2155,4.27E+00
2156,4.27E+00
2157,4.27E+00
2158,4.27E+00
2159,4.27E+00
2160,4.27E+00
2161,4.27E+00
2162,4.27E+00
2163,4.27E+00
2164,4.27E+00
2165,4.27E+00
2166,4.27E+00
2167,4.27E+00
2168,4.27E+00
2169,4.27E+00
2170,4.27E+00
2171,4.27E+00
2172,4.27E+00
2173,4.27E+00
2174,4.27E+00
2175,4.27E+00
2176,4.27E+00
2177,4.27E+00
2178,4.27E+00
2179,4.27E+00
2180,4.27E+00
2181,4.27E+00
2182,4.27E+00
2183,4.27E+00
2184,4.27E+00
2185,4.27E+00
2186,4.27E+00
2187,4.27E+00
2188,4.27E+00
2189,4.27E+00
2190,4.27E+00
2191,4.27E+00
2192,4.27E+00
2193,4.27E+00
2194,4.27E+00
2195,4.27E+00
2196,4.27E+00
2197,4.27E+00
2198,4.27E+00
2199,4.27E+00
2200,4.27E+00
2201,4.27E+00
2202,4.27E+00
2203,4.27E+00
2204,4.27E+00
2205,4.27E+00
2206,4.27E+00
2207,4.27E+00
2208,4.27E+00
2209,4.27E+00
2210,4.27E+00
2211,4.27E+00
2212,4.27E+00
2213,4.27E+00
2214,4.27E+00
2215,4.27E+00
2216,4.27E+00
2217,4.27E+00
2218,4.27E+00
2219,4.27E+00
2220,4.27E+00
2221,4.27E+00
2222,4.27E+00
2223,4.27E+00
2224,4.27E+00
2225,4.27E+00
2226,4.27E+00
2227,4.27E+00
2228,4.27E+00
2229,4.27E+00
2230,4.27E+00
2231,4.27E+00
2232,4.27E+00
2233,4.27E+00
2234,4.27E+00
2235,4.27E+00
2236,4.27E+00
2237,4.27E+00
2238,4.27E+00
2239,4.27E+00
2240,4.27E+00
2241,4.27E+00
2242,4.27E+00
2243,4.27E+00
2244,4.27E+00
2245,4.27E+00
2246,4.27E+00
2247,4.27E+00
2248,4.27E+00
2249,4.27E+00
2250,4.27E+00
2251,4.27E+00
2252,4.27E+00
2253,4.27E+00
2254,4.27E+00
2255,4.27E+00
2256,4.27E+00
2257,4.27E+00
2258,4.27E+00
2259,4.27E+00
2260,4.27E+00
2261,4.27E+00
2262,4.27E+00
2263,4.27E+00
2264,4.27E+00
2265,4.27E+00
2266,4.27E+00
2267,4.27E+00
2268,4.27E+00
2269,4.27E+00
2270,4.27E+00
2271,4.27E+00
2272,4.27E+00
2273,4.27E+00
2274,4.27E+00
2275,4.27E+00
2276,4.27E+00
2277,4.27E+00
2278,4.27E+00
2279,4.27E+00
2280,4.27E+00
2281,4.27E+00
2282,4.27E+00
2283,4.27E+00
2284,4.27E+00
2285,4.27E+00
2286,4.27E+00
2287,4.27E+00
2288,4.27E+00
2289,4.27E+00
2290,4.27E+00
2291,4.27E+00
2292,4.27E+00
2293,4.27E+00
2294,4.27E+00
2295,4.27E+00
2296,4.27E+00
2297,4.27E+00
2298,4.27E+00
2299,4.27E+00
2300,4.27E+00
