; RCP6.0 CO2 concentrations in ppm,
2179,751.99877
2180,751.99877
2181,751.99877
2182,751.99877
2183,751.99877
2184,751.99877
2185,751.99877
2186,751.99877
2187,751.99877
2188,751.99877
2189,751.99877
2190,751.99877
2191,751.99877
2192,751.99877
2193,751.99877
2194,751.99877
2195,751.99877
2196,751.99877
2197,751.99877
2198,751.99877
2199,751.99877
2200,751.99877
2201,751.99877
2202,751.99877
2203,751.99877
2204,751.99877
2205,751.99877
2206,751.99877
2207,751.99877
2208,751.99877
2209,751.99877
2210,751.99877
2211,751.99877
2212,751.99877
2213,751.99877
2214,751.99877
2215,751.99877
2216,751.99877
2217,751.99877
2218,751.99877
2219,751.99877
2220,751.99877
2221,751.99877
2222,751.99877
2223,751.99877
2224,751.99877
2225,751.99877
2226,751.99877
2227,751.99877
2228,751.99877
2229,751.99877
2230,751.99877
2231,751.99877
2232,751.99877
2233,751.99877
2234,751.99877
2235,751.99877
2236,751.99877
2237,751.99877
2238,751.99877
2239,751.99877
2240,751.99877
2241,751.99877
2242,751.99877
2243,751.99877
2244,751.99877
2245,751.99877
2246,751.99877
2247,751.99877
2248,751.99877
2249,751.99877
2250,751.99877
2251,751.99877
2252,751.99877
2253,751.99877
2254,751.99877
2255,751.99877
2256,751.99877
2257,751.99877
2258,751.99877
2259,751.99877
2260,751.99877
2261,751.99877
2262,751.99877
2263,751.99877
2264,751.99877
2265,751.99877
2266,751.99877
2267,751.99877
2268,751.99877
2269,751.99877
2270,751.99877
2271,751.99877
2272,751.99877
2273,751.99877
2274,751.99877
2275,751.99877
2276,751.99877
2277,751.99877
2278,751.99877
2279,751.99877
2280,751.99877
2281,751.99877
2282,751.99877
2283,751.99877
2284,751.99877
2285,751.99877
2286,751.99877
2287,751.99877
2288,751.99877
2289,751.99877
2290,751.99877
2291,751.99877
2292,751.99877
2293,751.99877
2294,751.99877
2295,751.99877
2296,751.99877
2297,751.99877
2298,751.99877
2299,751.99877
2300,751.99877
