year,run_name,component,variable,value
1951,rcp26,temperature,Tgav,0.41085
1952,rcp26,temperature,Tgav,0.20455
1953,rcp26,temperature,Tgav,0.31605
1954,rcp26,temperature,Tgav,0.33695
1955,rcp26,temperature,Tgav,0.37677
1956,rcp26,temperature,Tgav,0.32575
1957,rcp26,temperature,Tgav,0.36425
1958,rcp26,temperature,Tgav,0.38229
1959,rcp26,temperature,Tgav,0.37211
1960,rcp26,temperature,Tgav,0.31757
1961,rcp26,temperature,Tgav,0.33681
1962,rcp26,temperature,Tgav,0.32315
1963,rcp26,temperature,Tgav,0.20105
1964,rcp26,temperature,Tgav,0.15245
1965,rcp26,temperature,Tgav,0.20785
1966,rcp26,temperature,Tgav,0.25025
1967,rcp26,temperature,Tgav,0.23225
1968,rcp26,temperature,Tgav,0.29295
1969,rcp26,temperature,Tgav,0.26115
1970,rcp26,temperature,Tgav,0.25431
1971,rcp26,temperature,Tgav,0.29113
1972,rcp26,temperature,Tgav,0.34851
1973,rcp26,temperature,Tgav,0.35725
1974,rcp26,temperature,Tgav,0.35673
1975,rcp26,temperature,Tgav,0.27997
1976,rcp26,temperature,Tgav,0.27579
1977,rcp26,temperature,Tgav,0.37869
1978,rcp26,temperature,Tgav,0.37169
1979,rcp26,temperature,Tgav,0.41277
1980,rcp26,temperature,Tgav,0.45425
1981,rcp26,temperature,Tgav,0.46419
1982,rcp26,temperature,Tgav,0.41283
1983,rcp26,temperature,Tgav,0.42875
1984,rcp26,temperature,Tgav,0.36905
1985,rcp26,temperature,Tgav,0.45877
1986,rcp26,temperature,Tgav,0.48445
1987,rcp26,temperature,Tgav,0.48329
1988,rcp26,temperature,Tgav,0.50071
1989,rcp26,temperature,Tgav,0.55975
1990,rcp26,temperature,Tgav,0.62785
1991,rcp26,temperature,Tgav,0.61743
1992,rcp26,temperature,Tgav,0.37335
1993,rcp26,temperature,Tgav,0.42351
1994,rcp26,temperature,Tgav,0.49489
1995,rcp26,temperature,Tgav,0.55567
1996,rcp26,temperature,Tgav,0.56388
1997,rcp26,temperature,Tgav,0.65315
1998,rcp26,temperature,Tgav,0.71887
1999,rcp26,temperature,Tgav,0.7155
2000,rcp26,temperature,Tgav,0.76182
2001,rcp26,temperature,Tgav,0.93257
2002,rcp26,temperature,Tgav,1.00161
2003,rcp26,temperature,Tgav,0.92459
2004,rcp26,temperature,Tgav,0.91
2005,rcp26,temperature,Tgav,1.00519
2006,rcp26,temperature,Tgav,0.86855
2007,rcp26,temperature,Tgav,1.080325
2008,rcp26,temperature,Tgav,1.077025
2009,rcp26,temperature,Tgav,1.02735
2010,rcp26,temperature,Tgav,1.0759
2011,rcp26,temperature,Tgav,1.05585
2012,rcp26,temperature,Tgav,1.2542
2013,rcp26,temperature,Tgav,1.14205
2014,rcp26,temperature,Tgav,1.18715
2015,rcp26,temperature,Tgav,1.29405
2016,rcp26,temperature,Tgav,1.35905
2017,rcp26,temperature,Tgav,1.39245
2018,rcp26,temperature,Tgav,1.48255
2019,rcp26,temperature,Tgav,1.44595
2020,rcp26,temperature,Tgav,1.44525
2021,rcp26,temperature,Tgav,1.57325
2022,rcp26,temperature,Tgav,1.60185
2023,rcp26,temperature,Tgav,1.66195
2024,rcp26,temperature,Tgav,1.65265
2025,rcp26,temperature,Tgav,1.7168
2026,rcp26,temperature,Tgav,1.7176
2027,rcp26,temperature,Tgav,1.64565
2028,rcp26,temperature,Tgav,1.62745
2029,rcp26,temperature,Tgav,1.760625
2030,rcp26,temperature,Tgav,1.77765
2031,rcp26,temperature,Tgav,1.79155
2032,rcp26,temperature,Tgav,1.82835
2033,rcp26,temperature,Tgav,1.80275
2034,rcp26,temperature,Tgav,1.895325
2035,rcp26,temperature,Tgav,1.91355
2036,rcp26,temperature,Tgav,1.95265
2037,rcp26,temperature,Tgav,1.86625
2038,rcp26,temperature,Tgav,1.8814
2039,rcp26,temperature,Tgav,1.949
2040,rcp26,temperature,Tgav,1.949375
2041,rcp26,temperature,Tgav,1.95395
2042,rcp26,temperature,Tgav,1.96975
2043,rcp26,temperature,Tgav,2.07085
2044,rcp26,temperature,Tgav,2.051275
2045,rcp26,temperature,Tgav,2.101575
2046,rcp26,temperature,Tgav,2.110075
2047,rcp26,temperature,Tgav,2.157625
2048,rcp26,temperature,Tgav,2.20845
2049,rcp26,temperature,Tgav,2.13205
2050,rcp26,temperature,Tgav,2.10505
2051,rcp26,temperature,Tgav,2.223175
2052,rcp26,temperature,Tgav,2.1492
2053,rcp26,temperature,Tgav,2.06995
2054,rcp26,temperature,Tgav,2.1832
2055,rcp26,temperature,Tgav,2.21345
2056,rcp26,temperature,Tgav,2.14805
2057,rcp26,temperature,Tgav,2.25315
2058,rcp26,temperature,Tgav,2.1371
2059,rcp26,temperature,Tgav,2.247775
2060,rcp26,temperature,Tgav,2.211075
2061,rcp26,temperature,Tgav,2.14995
2062,rcp26,temperature,Tgav,2.268425
2063,rcp26,temperature,Tgav,2.2427
2064,rcp26,temperature,Tgav,2.1396
2065,rcp26,temperature,Tgav,2.1365
2066,rcp26,temperature,Tgav,2.13345
2067,rcp26,temperature,Tgav,2.18255
2068,rcp26,temperature,Tgav,2.181175
2069,rcp26,temperature,Tgav,2.20565
2070,rcp26,temperature,Tgav,2.182475
2071,rcp26,temperature,Tgav,2.20365
2072,rcp26,temperature,Tgav,2.13625
2073,rcp26,temperature,Tgav,2.15385
2074,rcp26,temperature,Tgav,2.22165
2075,rcp26,temperature,Tgav,2.149825
2076,rcp26,temperature,Tgav,2.16375
2077,rcp26,temperature,Tgav,2.152575
2078,rcp26,temperature,Tgav,2.172425
2079,rcp26,temperature,Tgav,2.19325
2080,rcp26,temperature,Tgav,2.16975
2081,rcp26,temperature,Tgav,2.12945
2082,rcp26,temperature,Tgav,2.1655
2083,rcp26,temperature,Tgav,2.14655
2084,rcp26,temperature,Tgav,2.116
2085,rcp26,temperature,Tgav,2.03575
2086,rcp26,temperature,Tgav,2.13355
2087,rcp26,temperature,Tgav,2.07105
2088,rcp26,temperature,Tgav,2.15485
2089,rcp26,temperature,Tgav,2.1775
2090,rcp26,temperature,Tgav,2.181425
2091,rcp26,temperature,Tgav,2.1239
2092,rcp26,temperature,Tgav,2.08645
2093,rcp26,temperature,Tgav,2.08695
2094,rcp26,temperature,Tgav,2.062625
2095,rcp26,temperature,Tgav,2.047575
2096,rcp26,temperature,Tgav,2.03105
2097,rcp26,temperature,Tgav,2.039275
2098,rcp26,temperature,Tgav,2.0357
2099,rcp26,temperature,Tgav,2.010625
2100,rcp26,temperature,Tgav,1.968475
2101,rcp26,temperature,Tgav,2.02965
2102,rcp26,temperature,Tgav,2.272
2103,rcp26,temperature,Tgav,2.22815
2104,rcp26,temperature,Tgav,2.25525
2105,rcp26,temperature,Tgav,2.16725
2106,rcp26,temperature,Tgav,2.1963
2107,rcp26,temperature,Tgav,2.14105
2108,rcp26,temperature,Tgav,2.00975
2109,rcp26,temperature,Tgav,1.98815
2110,rcp26,temperature,Tgav,2.09995
2111,rcp26,temperature,Tgav,2.1606
2112,rcp26,temperature,Tgav,2.0805
2113,rcp26,temperature,Tgav,2.1772
2114,rcp26,temperature,Tgav,2.0831
2115,rcp26,temperature,Tgav,2.054
2116,rcp26,temperature,Tgav,2.07305
2117,rcp26,temperature,Tgav,2.09795
2118,rcp26,temperature,Tgav,2.2009
2119,rcp26,temperature,Tgav,2.1391
2120,rcp26,temperature,Tgav,2.0923
2121,rcp26,temperature,Tgav,2.1601
2122,rcp26,temperature,Tgav,2.1818
2123,rcp26,temperature,Tgav,2.03685
2124,rcp26,temperature,Tgav,2.05185
2125,rcp26,temperature,Tgav,2.1532
2126,rcp26,temperature,Tgav,2.0044
2127,rcp26,temperature,Tgav,1.9869
2128,rcp26,temperature,Tgav,2.0733
2129,rcp26,temperature,Tgav,2.0266
2130,rcp26,temperature,Tgav,1.97925
2131,rcp26,temperature,Tgav,1.97045
2132,rcp26,temperature,Tgav,2.02495
2133,rcp26,temperature,Tgav,2.09155
2134,rcp26,temperature,Tgav,2.02625
2135,rcp26,temperature,Tgav,2.13845
2136,rcp26,temperature,Tgav,2.12535
2137,rcp26,temperature,Tgav,2.03755
2138,rcp26,temperature,Tgav,2.03235
2139,rcp26,temperature,Tgav,1.91645
2140,rcp26,temperature,Tgav,1.92075
2141,rcp26,temperature,Tgav,2.00515
2142,rcp26,temperature,Tgav,2.02865
2143,rcp26,temperature,Tgav,2.09255
2144,rcp26,temperature,Tgav,2.0751
2145,rcp26,temperature,Tgav,2.12095
2146,rcp26,temperature,Tgav,2.12695
2147,rcp26,temperature,Tgav,2.012
2148,rcp26,temperature,Tgav,2.0942
2149,rcp26,temperature,Tgav,2.11245
2150,rcp26,temperature,Tgav,2.03775
2151,rcp26,temperature,Tgav,1.9982
2152,rcp26,temperature,Tgav,2.0167
2153,rcp26,temperature,Tgav,1.9657
2154,rcp26,temperature,Tgav,1.9424
2155,rcp26,temperature,Tgav,2.02155
2156,rcp26,temperature,Tgav,2.118
2157,rcp26,temperature,Tgav,2.18335
2158,rcp26,temperature,Tgav,2.0851
2159,rcp26,temperature,Tgav,1.9776
2160,rcp26,temperature,Tgav,2.10635
2161,rcp26,temperature,Tgav,2.08825
2162,rcp26,temperature,Tgav,2.0489
2163,rcp26,temperature,Tgav,2.00705
2164,rcp26,temperature,Tgav,1.9769
2165,rcp26,temperature,Tgav,1.92785
2166,rcp26,temperature,Tgav,1.98395
2167,rcp26,temperature,Tgav,2.05275
2168,rcp26,temperature,Tgav,2.0616
2169,rcp26,temperature,Tgav,2.00935
2170,rcp26,temperature,Tgav,1.94115
2171,rcp26,temperature,Tgav,1.96785
2172,rcp26,temperature,Tgav,2.00495
2173,rcp26,temperature,Tgav,2.06285
2174,rcp26,temperature,Tgav,2.05725
2175,rcp26,temperature,Tgav,1.99155
2176,rcp26,temperature,Tgav,2.0505
2177,rcp26,temperature,Tgav,2.10395
2178,rcp26,temperature,Tgav,1.9531
2179,rcp26,temperature,Tgav,1.9686
2180,rcp26,temperature,Tgav,1.9484
2181,rcp26,temperature,Tgav,1.9624
2182,rcp26,temperature,Tgav,1.9665
2183,rcp26,temperature,Tgav,2.00625
2184,rcp26,temperature,Tgav,1.9892
2185,rcp26,temperature,Tgav,1.95685
2186,rcp26,temperature,Tgav,1.9436
2187,rcp26,temperature,Tgav,1.92065
2188,rcp26,temperature,Tgav,1.9478
2189,rcp26,temperature,Tgav,1.9344
2190,rcp26,temperature,Tgav,2.0326
2191,rcp26,temperature,Tgav,1.92
2192,rcp26,temperature,Tgav,1.89775
2193,rcp26,temperature,Tgav,1.95905
2194,rcp26,temperature,Tgav,2.00315
2195,rcp26,temperature,Tgav,1.94785
2196,rcp26,temperature,Tgav,1.9919
2197,rcp26,temperature,Tgav,1.93095
2198,rcp26,temperature,Tgav,2.04875
2199,rcp26,temperature,Tgav,1.9854
2200,rcp26,temperature,Tgav,1.97995
2201,rcp26,temperature,Tgav,1.96845
2202,rcp26,temperature,Tgav,2.0014
2203,rcp26,temperature,Tgav,1.933
2204,rcp26,temperature,Tgav,1.9028
2205,rcp26,temperature,Tgav,1.92745
2206,rcp26,temperature,Tgav,1.84675
2207,rcp26,temperature,Tgav,1.9254
2208,rcp26,temperature,Tgav,1.89575
2209,rcp26,temperature,Tgav,1.87995
2210,rcp26,temperature,Tgav,1.91505
2211,rcp26,temperature,Tgav,1.81645
2212,rcp26,temperature,Tgav,1.8377
2213,rcp26,temperature,Tgav,1.75505
2214,rcp26,temperature,Tgav,1.8046
2215,rcp26,temperature,Tgav,1.85825
2216,rcp26,temperature,Tgav,1.83595
2217,rcp26,temperature,Tgav,1.84745
2218,rcp26,temperature,Tgav,1.873
2219,rcp26,temperature,Tgav,1.8247
2220,rcp26,temperature,Tgav,1.93885
2221,rcp26,temperature,Tgav,1.86285
2222,rcp26,temperature,Tgav,1.88855
2223,rcp26,temperature,Tgav,1.93365
2224,rcp26,temperature,Tgav,1.94785
2225,rcp26,temperature,Tgav,2.031
2226,rcp26,temperature,Tgav,1.8901
2227,rcp26,temperature,Tgav,1.91035
2228,rcp26,temperature,Tgav,1.83755
2229,rcp26,temperature,Tgav,1.8699
2230,rcp26,temperature,Tgav,1.85875
2231,rcp26,temperature,Tgav,1.77995
2232,rcp26,temperature,Tgav,1.86085
2233,rcp26,temperature,Tgav,1.8494
2234,rcp26,temperature,Tgav,1.81095
2235,rcp26,temperature,Tgav,1.9215
2236,rcp26,temperature,Tgav,1.9109
2237,rcp26,temperature,Tgav,1.88115
2238,rcp26,temperature,Tgav,1.8724
2239,rcp26,temperature,Tgav,1.84865
2240,rcp26,temperature,Tgav,1.9024
2241,rcp26,temperature,Tgav,1.85885
2242,rcp26,temperature,Tgav,1.85045
2243,rcp26,temperature,Tgav,1.8628
2244,rcp26,temperature,Tgav,1.96715
2245,rcp26,temperature,Tgav,1.99785
2246,rcp26,temperature,Tgav,1.9212
2247,rcp26,temperature,Tgav,1.92785
2248,rcp26,temperature,Tgav,1.87515
2249,rcp26,temperature,Tgav,1.89355
2250,rcp26,temperature,Tgav,1.8537
2251,rcp26,temperature,Tgav,1.82525
2252,rcp26,temperature,Tgav,1.86345
2253,rcp26,temperature,Tgav,1.82765
2254,rcp26,temperature,Tgav,1.938
2255,rcp26,temperature,Tgav,1.87725
2256,rcp26,temperature,Tgav,1.9314
2257,rcp26,temperature,Tgav,1.88945
2258,rcp26,temperature,Tgav,1.8982
2259,rcp26,temperature,Tgav,1.85325
2260,rcp26,temperature,Tgav,1.93425
2261,rcp26,temperature,Tgav,1.9072
2262,rcp26,temperature,Tgav,1.8659
2263,rcp26,temperature,Tgav,1.86385
2264,rcp26,temperature,Tgav,1.8154
2265,rcp26,temperature,Tgav,1.90195
2266,rcp26,temperature,Tgav,1.9136
2267,rcp26,temperature,Tgav,1.9238
2268,rcp26,temperature,Tgav,1.8449
2269,rcp26,temperature,Tgav,1.8325
2270,rcp26,temperature,Tgav,1.83145
2271,rcp26,temperature,Tgav,1.7786
2272,rcp26,temperature,Tgav,1.83625
2273,rcp26,temperature,Tgav,1.874
2274,rcp26,temperature,Tgav,1.8217
2275,rcp26,temperature,Tgav,1.84515
2276,rcp26,temperature,Tgav,1.8942
2277,rcp26,temperature,Tgav,1.9616
2278,rcp26,temperature,Tgav,1.88105
2279,rcp26,temperature,Tgav,1.75595
2280,rcp26,temperature,Tgav,1.7877
2281,rcp26,temperature,Tgav,1.7811
2282,rcp26,temperature,Tgav,1.89105
2283,rcp26,temperature,Tgav,1.87565
2284,rcp26,temperature,Tgav,1.87895
2285,rcp26,temperature,Tgav,1.8481
2286,rcp26,temperature,Tgav,1.8707
2287,rcp26,temperature,Tgav,1.82355
2288,rcp26,temperature,Tgav,1.79585
2289,rcp26,temperature,Tgav,1.8132
2290,rcp26,temperature,Tgav,1.8976
2291,rcp26,temperature,Tgav,1.745
2292,rcp26,temperature,Tgav,1.70445
2293,rcp26,temperature,Tgav,1.78095
2294,rcp26,temperature,Tgav,1.7614
2295,rcp26,temperature,Tgav,1.86465
2296,rcp26,temperature,Tgav,1.7092
2297,rcp26,temperature,Tgav,1.6838
2298,rcp26,temperature,Tgav,1.71375
2299,rcp26,temperature,Tgav,1.81795
2300,rcp26,temperature,Tgav,1.80865
1746,rcp85,temperature,Tgav,
1747,rcp85,temperature,Tgav,
1748,rcp85,temperature,Tgav,
1749,rcp85,temperature,Tgav,
1750,rcp85,temperature,Tgav,
1751,rcp85,temperature,Tgav,
1752,rcp85,temperature,Tgav,
1753,rcp85,temperature,Tgav,
1754,rcp85,temperature,Tgav,
1755,rcp85,temperature,Tgav,
1756,rcp85,temperature,Tgav,
1757,rcp85,temperature,Tgav,
1758,rcp85,temperature,Tgav,
1759,rcp85,temperature,Tgav,
1760,rcp85,temperature,Tgav,
1761,rcp85,temperature,Tgav,
1762,rcp85,temperature,Tgav,
1763,rcp85,temperature,Tgav,
1764,rcp85,temperature,Tgav,
1765,rcp85,temperature,Tgav,
1766,rcp85,temperature,Tgav,
1767,rcp85,temperature,Tgav,
1768,rcp85,temperature,Tgav,
1769,rcp85,temperature,Tgav,
1770,rcp85,temperature,Tgav,
1771,rcp85,temperature,Tgav,
1772,rcp85,temperature,Tgav,
1773,rcp85,temperature,Tgav,
1774,rcp85,temperature,Tgav,
1775,rcp85,temperature,Tgav,
1776,rcp85,temperature,Tgav,
1777,rcp85,temperature,Tgav,
1778,rcp85,temperature,Tgav,
1779,rcp85,temperature,Tgav,
1780,rcp85,temperature,Tgav,
1781,rcp85,temperature,Tgav,
1782,rcp85,temperature,Tgav,
1783,rcp85,temperature,Tgav,
1784,rcp85,temperature,Tgav,
1785,rcp85,temperature,Tgav,
1786,rcp85,temperature,Tgav,
1787,rcp85,temperature,Tgav,
1788,rcp85,temperature,Tgav,
1789,rcp85,temperature,Tgav,
1790,rcp85,temperature,Tgav,
1791,rcp85,temperature,Tgav,
1792,rcp85,temperature,Tgav,
1793,rcp85,temperature,Tgav,
1794,rcp85,temperature,Tgav,
1795,rcp85,temperature,Tgav,
1796,rcp85,temperature,Tgav,
1797,rcp85,temperature,Tgav,
1798,rcp85,temperature,Tgav,
1799,rcp85,temperature,Tgav,
1800,rcp85,temperature,Tgav,
1801,rcp85,temperature,Tgav,
1802,rcp85,temperature,Tgav,
1803,rcp85,temperature,Tgav,
1804,rcp85,temperature,Tgav,
1805,rcp85,temperature,Tgav,
1806,rcp85,temperature,Tgav,
1807,rcp85,temperature,Tgav,
1808,rcp85,temperature,Tgav,
1809,rcp85,temperature,Tgav,
1810,rcp85,temperature,Tgav,
1811,rcp85,temperature,Tgav,
1812,rcp85,temperature,Tgav,
1813,rcp85,temperature,Tgav,
1814,rcp85,temperature,Tgav,
1815,rcp85,temperature,Tgav,
1816,rcp85,temperature,Tgav,
1817,rcp85,temperature,Tgav,
1818,rcp85,temperature,Tgav,
1819,rcp85,temperature,Tgav,
1820,rcp85,temperature,Tgav,
1821,rcp85,temperature,Tgav,
1822,rcp85,temperature,Tgav,
1823,rcp85,temperature,Tgav,
1824,rcp85,temperature,Tgav,
1825,rcp85,temperature,Tgav,
1826,rcp85,temperature,Tgav,
1827,rcp85,temperature,Tgav,
1828,rcp85,temperature,Tgav,
1829,rcp85,temperature,Tgav,
1830,rcp85,temperature,Tgav,
1831,rcp85,temperature,Tgav,
1832,rcp85,temperature,Tgav,
1833,rcp85,temperature,Tgav,
1834,rcp85,temperature,Tgav,
1835,rcp85,temperature,Tgav,
1836,rcp85,temperature,Tgav,
1837,rcp85,temperature,Tgav,
1838,rcp85,temperature,Tgav,
1839,rcp85,temperature,Tgav,
1840,rcp85,temperature,Tgav,
1841,rcp85,temperature,Tgav,
1842,rcp85,temperature,Tgav,
1843,rcp85,temperature,Tgav,
1844,rcp85,temperature,Tgav,
1845,rcp85,temperature,Tgav,
1846,rcp85,temperature,Tgav,
1847,rcp85,temperature,Tgav,
1848,rcp85,temperature,Tgav,
1849,rcp85,temperature,Tgav,
1850,rcp85,temperature,Tgav,0
1851,rcp85,temperature,Tgav,-0.01885
1852,rcp85,temperature,Tgav,-0.15205
1853,rcp85,temperature,Tgav,-0.05175
1854,rcp85,temperature,Tgav,-0.02675
1855,rcp85,temperature,Tgav,0.02535
1856,rcp85,temperature,Tgav,-0.0736
1857,rcp85,temperature,Tgav,-0.15615
1858,rcp85,temperature,Tgav,-0.09815
1859,rcp85,temperature,Tgav,-0.24755
1860,rcp85,temperature,Tgav,0.23645
1861,rcp85,temperature,Tgav,0.24915
1862,rcp85,temperature,Tgav,0.16835
1863,rcp85,temperature,Tgav,0.10915
1864,rcp85,temperature,Tgav,0.15835
1865,rcp85,temperature,Tgav,0.18235
1866,rcp85,temperature,Tgav,0.13245
1867,rcp85,temperature,Tgav,0.11745
1868,rcp85,temperature,Tgav,0.20879
1869,rcp85,temperature,Tgav,0.24035
1870,rcp85,temperature,Tgav,-0.01685
1871,rcp85,temperature,Tgav,0.13995
1872,rcp85,temperature,Tgav,0.28515
1873,rcp85,temperature,Tgav,0.03305
1874,rcp85,temperature,Tgav,0.12195
1875,rcp85,temperature,Tgav,0.23645
1876,rcp85,temperature,Tgav,0.27809
1877,rcp85,temperature,Tgav,0.30265
1878,rcp85,temperature,Tgav,0.24515
1879,rcp85,temperature,Tgav,0.25545
1880,rcp85,temperature,Tgav,0.11365
1881,rcp85,temperature,Tgav,0.22455
1882,rcp85,temperature,Tgav,0.25705
1883,rcp85,temperature,Tgav,0.07835
1884,rcp85,temperature,Tgav,-0.08301667
1885,rcp85,temperature,Tgav,-0.12175
1886,rcp85,temperature,Tgav,-0.09025
1887,rcp85,temperature,Tgav,-0.00595
1888,rcp85,temperature,Tgav,-0.01215
1889,rcp85,temperature,Tgav,0.07025
1890,rcp85,temperature,Tgav,0.07195
1891,rcp85,temperature,Tgav,0.04571
1892,rcp85,temperature,Tgav,0.08135
1893,rcp85,temperature,Tgav,0.07605
1894,rcp85,temperature,Tgav,0.09505
1895,rcp85,temperature,Tgav,0.15745
1896,rcp85,temperature,Tgav,0.07685
1897,rcp85,temperature,Tgav,0.24215
1898,rcp85,temperature,Tgav,0.21525
1899,rcp85,temperature,Tgav,0.22005
1900,rcp85,temperature,Tgav,0.20415
1901,rcp85,temperature,Tgav,0.14875
1902,rcp85,temperature,Tgav,0.17055
1903,rcp85,temperature,Tgav,-0.20875
1904,rcp85,temperature,Tgav,-0.12305
1905,rcp85,temperature,Tgav,-0.05125
1906,rcp85,temperature,Tgav,-0.16285
1907,rcp85,temperature,Tgav,-0.02615
1908,rcp85,temperature,Tgav,0.10375
1909,rcp85,temperature,Tgav,0.16895
1910,rcp85,temperature,Tgav,0.24685
1911,rcp85,temperature,Tgav,0.25417
1912,rcp85,temperature,Tgav,0.04105
1913,rcp85,temperature,Tgav,-0.08765
1914,rcp85,temperature,Tgav,0.13605
1915,rcp85,temperature,Tgav,0.22125
1916,rcp85,temperature,Tgav,0.23705
1917,rcp85,temperature,Tgav,0.28105
1918,rcp85,temperature,Tgav,0.23025
1919,rcp85,temperature,Tgav,0.10785
1920,rcp85,temperature,Tgav,0.17125
1921,rcp85,temperature,Tgav,0.16725
1922,rcp85,temperature,Tgav,0.03295
1923,rcp85,temperature,Tgav,0.28705
1924,rcp85,temperature,Tgav,0.28055
1925,rcp85,temperature,Tgav,0.16825
1926,rcp85,temperature,Tgav,0.21725
1927,rcp85,temperature,Tgav,0.18905
1928,rcp85,temperature,Tgav,0.30755
1929,rcp85,temperature,Tgav,0.20055
1930,rcp85,temperature,Tgav,0.07425
1931,rcp85,temperature,Tgav,0.27515
1932,rcp85,temperature,Tgav,0.25955
1933,rcp85,temperature,Tgav,0.34375
1934,rcp85,temperature,Tgav,0.39447
1935,rcp85,temperature,Tgav,0.27415
1936,rcp85,temperature,Tgav,0.28895
1937,rcp85,temperature,Tgav,0.33815
1938,rcp85,temperature,Tgav,0.34835
1939,rcp85,temperature,Tgav,0.27645
1940,rcp85,temperature,Tgav,0.38135
1941,rcp85,temperature,Tgav,0.46105
1942,rcp85,temperature,Tgav,0.41095
1943,rcp85,temperature,Tgav,0.39925
1944,rcp85,temperature,Tgav,0.44085
1945,rcp85,temperature,Tgav,0.30295
1946,rcp85,temperature,Tgav,0.34435
1947,rcp85,temperature,Tgav,0.39935
1948,rcp85,temperature,Tgav,0.40575
1949,rcp85,temperature,Tgav,0.57051
1950,rcp85,temperature,Tgav,0.50115
1951,rcp85,temperature,Tgav,0.41085
