section,parameter,biome-specific,time-variant,required,default,units,description
N2O,TN2O0,n,n,y,132,years,initial lifetime of N2O
N2O,N2O_natural_emissions[1750],n,y,y,9.5,,default natural emissions based on a best fit to IPCC AR6 N2O RF
N2O,N2O_emissions,n,y,y,"""(csv)""",,emissions time series
forcing,baseyear,n,n,y,1750,,"when to start reporting; by definition, all F=0 in this year"
forcing,Ftot_constrain,n,y,n,"""(csv)""",,"If supplied, the model will use these data, ignoring what it calculates"
forcing,delta_co2,n,n,y,0.05,(unitless),forcing tropospheric adjustments for CO2 (7.3.2.1 of IPCC AR6)
forcing,delta_ch4,n,n,y,-0.14,(unitless),forcing tropospheric adjustments for CH4 (7.3.2.2 of IPCC AR6)
forcing,delta_n2o,n,n,y,0.07,(unitless),forcing tropospheric adjustments for N2O (7.3.2.3 of IPCC AR6)
forcing,rho_bc,n,n,y,0.0508,W yr m–2 C Tg–1,IPCC AR6 radiative efficiency BC (7.SM.1.3 of IPCC AR6)
forcing,rho_oc,n,n,y,-0.00621,W yr m–2 C Tg–1,IPCC AR6 radiative efficiency OC (7.SM.1.3.1 of IPCC AR6)
forcing,rho_so2,n,n,y,-7.24E-06,W yr m–2 S Gg-1,IPCC AR6 radiative efficiency SO2 (7.SM.1.3.1 of IPCC AR6)
forcing,rho_nh3,n,n,y,-0.00208,W yr m–2 NH3Tg–1,IPCC AR6 radiative efficiency NH3 (7.SM.1.3.1 of IPCC AR6)
forcing,Fmisc,n,n,n,"""(csv)""",,"Miscellaneous radiative forcings default set to 0, or read in from a input table, may be used to read in additional forcings not modeled by Hector (i.e. solar, bc on snow , contrails from)"
forcing,Fmisc[1750],n,y,n,0,,
temperature,S,n,n,y,3,degC,equilibrium climate sensitivity for 2xCO2
temperature,diff,n,n,y,2.3,cm2/s,ocean heat diffusivity
temperature,alpha,n,n,y,1,(unitless),scaling factor for aerosol forcing
temperature,volscl,n,n,y,1,(unitless),scaling factor for volcanic forcing
temperature,qco2,n,n,y,3.75,,2×CO2 RF (7.3.2 of IPCC AR6)
temperature,Tgav_constrain,n,y,n,"""(csv)""",,"Optional global temperature constraint; If supplied, the model will use these data, ignoring what it calculates"
bc,BC_emissions,n,y,y,"""(csv)""",,
oc,OC_emissions,n,y,y,"""(csv)""",,
nh3,NH3_emissions,n,y,y,"""(csv)""",,
CF4_halocarbon,tau,n,n,y,50000,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CF4_halocarbon,rho_CF4,n,n,y,9.90E-05,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CF4_halocarbon,delta_CF4,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CF4_halocarbon,H0,n,n,y,35,pptv,preindustrial concentration
CF4_halocarbon,molarMass,n,n,y,88.0043,g,molar mass
CF4_halocarbon,CF4_emissions,n,y,y,"""(csv)""",,
C2F6_halocarbon,tau,n,n,y,10000,years,lifetime in years (Table 7.SM.7 IPPC AR6)
C2F6_halocarbon,rho_C2F6,n,n,y,2.61E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
C2F6_halocarbon,delta_C2F6,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
C2F6_halocarbon,molarMass,n,n,y,138.01,g,molar mass
C2F6_halocarbon,C2F6_emissions,n,y,y,"""(csv)""",,
HFC23_halocarbon,tau,n,n,y,228,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC23_halocarbon,rho_HFC23,n,n,y,1.91E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC23_halocarbon,delta_HFC23,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC23_halocarbon,molarMass,n,n,y,70,g,molar mass
HFC23_halocarbon,HFC23_emissions,n,y,y,"""(csv)""",,
HFC32_halocarbon,tau,n,n,y,5.4,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC32_halocarbon,rho_HFC32,n,n,y,1.11E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC32_halocarbon,delta_HFC32,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC32_halocarbon,molarMass,n,n,y,52,g,molar mass
HFC32_halocarbon,HFC32_emissions,n,y,y,"""(csv)""",,
HFC4310_halocarbon,tau,n,n,y,17,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC4310_halocarbon,rho_HFC4310,n,n,y,3.57E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC4310_halocarbon,delta_HFC4310,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC4310_halocarbon,molarMass,n,n,y,252,g,molar mass
HFC4310_halocarbon,HFC4310_emissions,n,y,y,"""(csv)""",,
HFC125_halocarbon,tau,n,n,y,30,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC125_halocarbon,rho_HFC125,n,n,y,2.34E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC125_halocarbon,delta_HFC125,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC125_halocarbon,molarMass,n,n,y,120.02,g,molar mass
HFC125_halocarbon,HFC125_emissions,n,y,y,"""(csv)""",,
HFC134a_halocarbon,tau,n,n,y,14,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC134a_halocarbon,rho_HFC134a,n,n,y,1.67E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC134a_halocarbon,delta_HFC134a,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC134a_halocarbon,molarMass,n,n,y,102.02,g,molar mass
HFC134a_halocarbon,HFC134a_emissions,n,y,y,"""(csv)""",,
HFC143a_halocarbon,tau,n,n,y,51,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC143a_halocarbon,rho_HFC143a,n,n,y,1.68E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC143a_halocarbon,delta_HFC143a,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC143a_halocarbon,molarMass,n,n,y,84.04,g,molar mass
HFC143a_halocarbon,HFC143a_emissions,n,y,y,"""(csv)""",,
HFC227ea_halocarbon,tau,n,n,y,36,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC227ea_halocarbon,rho_HFC227ea,n,n,y,2.73E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC227ea_halocarbon,delta_HFC227ea,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC227ea_halocarbon,molarMass,n,n,y,170.03,g,molar mass
HFC227ea_halocarbon,HFC227ea_emissions,n,y,y,"""(csv)""",,
HFC245fa_halocarbon,tau,n,n,y,7.9,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HFC245fa_halocarbon,rho_HFC245fa,n,n,y,2.45E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HFC245fa_halocarbon,delta_HFC245fa,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HFC245fa_halocarbon,molarMass,n,n,y,134,g,molar mass
HFC245fa_halocarbon,HFC245fa_emissions,n,y,y,"""(csv)""",,
SF6_halocarbon,tau,n,n,y,3200,years,lifetime in years (Table 7.SM.7 IPPC AR6)
SF6_halocarbon,rho_SF6,n,n,y,5.67E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
SF6_halocarbon,delta_SF6,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
SF6_halocarbon,molarMass,n,n,y,146.06,g,molar mass
SF6_halocarbon,SF6_emissions,n,y,y,"""(csv)""",,
CFC11_halocarbon,tau,n,n,y,52,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CFC11_halocarbon,rho_CFC11,n,n,y,2.59E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CFC11_halocarbon,delta_CFC11,n,n,y,0.13,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CFC11_halocarbon,molarMass,n,n,y,137.35,g,molar mass
CFC11_halocarbon,CFC11_emissions,n,y,y,"""(csv)""",,
CFC12_halocarbon,tau,n,n,y,102,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CFC12_halocarbon,rho_CFC12,n,n,y,3.20E-03,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CFC12_halocarbon,delta_CFC12,n,n,y,0.13,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CFC12_halocarbon,molarMass,n,n,y,120.9,g,molar mass
CFC12_halocarbon,CFC12_emissions,n,y,y,"""(csv)""",,
CFC113_halocarbon,tau,n,n,y,93,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CFC113_halocarbon,rho_CFC113,n,n,y,3.01E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CFC113_halocarbon,delta_CFC113,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CFC113_halocarbon,molarMass,n,n,y,187.35,g,molar mass
CFC113_halocarbon,CFC113_emissions,n,y,y,"""(csv)""",,
CFC114_halocarbon,tau,n,n,y,189,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CFC114_halocarbon,rho_CFC114,n,n,y,3.14E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CFC114_halocarbon,delta_CFC114,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CFC114_halocarbon,molarMass,n,n,y,170.9,g,molar mass
CFC114_halocarbon,CFC114_emissions,n,y,y,"""(csv)""",,
CFC115_halocarbon,tau,n,n,y,540,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CFC115_halocarbon,rho_CFC115,n,n,y,2.46E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CFC115_halocarbon,delta_CFC115,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CFC115_halocarbon,molarMass,n,n,y,154.45,g,molar mass
CFC115_halocarbon,CFC115_emissions,n,y,y,"""(csv)""",,
CC14_halocarbon,tau,n,n,y,32,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CC14_halocarbon,rho_CFC115,n,n,y,1.66E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CC14_halocarbon,delta_CFC115,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CC14_halocarbon,molarMass,n,n,y,153.8,g,molar mass
CC14_halocarbon,CFC115_emissions,n,y,y,"""(csv)""",,
CH3CC13_halocarbon,tau,n,n,y,5,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CH3CC13_halocarbon,rho_CH3CC13,n,n,y,6.50E-05,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CH3CC13_halocarbon,delta_CH3CC13,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CH3CC13_halocarbon,molarMass,n,n,y,133.35,g,molar mass
CH3CC13_halocarbon,CH3CC13_emissions,n,y,y,"""(csv)""",,
halon1211_halocarbon,tau,n,n,y,16,years,lifetime in years (Table 7.SM.7 IPPC AR6)
halon1211_halocarbon,rho_halon1211,n,n,y,3.00E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
halon1211_halocarbon,delta_halon1211,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
halon1211_halocarbon,molarMass,n,n,y,165.35,g,molar mass
halon1211_halocarbon,halon1211_emissions,n,y,y,"""(csv)""",,
halon1301_halocarbon,tau,n,n,y,72,years,lifetime in years (Table 7.SM.7 IPPC AR6)
halon1301_halocarbon,rho_halon1301,n,n,y,2.99E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
halon1301_halocarbon,delta_halon1301,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
halon1301_halocarbon,molarMass,n,n,y,148.9,g,molar mass
halon1301_halocarbon,halon1301_emissions,n,y,y,"""(csv)""",,
halon2402_halocarbon,tau,n,n,y,28,years,lifetime in years (Table 7.SM.7 IPPC AR6)
halon2402_halocarbon,rho_halon2402,n,n,y,3.12E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
halon2402_halocarbon,delta_halon2402,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
halon2402_halocarbon,molarMass,n,n,y,259.8,g,molar mass
halon2402_halocarbon,halon2402_emissions,n,y,y,"""(csv)""",,
HCF22_halocarbon,tau,n,n,y,11.9,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HCF22_halocarbon,rho_HCF22,n,n,y,2.14E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HCF22_halocarbon,delta_HCF22,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HCF22_halocarbon,molarMass,n,n,y,86.45,g,molar mass
HCF22_halocarbon,HCF22_emissions,n,y,y,"""(csv)""",,
HCFC141b_halocarbon,tau,n,n,y,9.4,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HCFC141b_halocarbon,rho_HCFC141b,n,n,y,1.61E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HCFC141b_halocarbon,delta_HCFC141b,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HCFC141b_halocarbon,molarMass,n,n,y,116.9,g,molar mass
HCFC141b_halocarbon,HCFC141b_emissions,n,y,y,"""(csv)""",,
HCFC142b_halocarbon,tau,n,n,y,18,years,lifetime in years (Table 7.SM.7 IPPC AR6)
HCFC142b_halocarbon,rho_HCFC142b,n,n,y,1.93E-04,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
HCFC142b_halocarbon,delta_HCFC142b,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
HCFC142b_halocarbon,molarMass,n,n,y,100.45,g,molar mass
HCFC142b_halocarbon,HCFC142b_emissions,n,y,y,"""(csv)""",,
CH3Cl_halocarbon,tau,n,n,y,0.9,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CH3Cl_halocarbon,rho_CH3Cl,n,n,y,5.00E-06,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CH3Cl_halocarbon,delta_CH3Cl,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CH3Cl_halocarbon,H0,n,n,y,504,pptv,"preindustrial concentration, from Saito et al 2007 GRL"
CH3Cl_halocarbon,molarMass,n,n,y,50.45,g,molar mass
CH3Cl_halocarbon,CH3Cl_emissions,n,y,y,"""(csv)""",,
CH3Br_halocarbon,tau,n,n,y,0.8,years,lifetime in years (Table 7.SM.7 IPPC AR6)
CH3Br_halocarbon,rho_CH3Br,n,n,y,4.00E-06,W/m2/ppt,radiative efficiencies (Table 7.SM.7 IPPC AR6)
CH3Br_halocarbon,delta_CH3Br,n,n,y,0,(unitless),tropospheric adjustments scalar (7.3.2.4 IPCC AR6)
CH3Br_halocarbon,H0,n,n,y,5.8,pptv,"preindustrial concentration, from Saltzman et al 2004 JGR"
CH3Br_halocarbon,molarMass,n,n,y,50.45,g,molar mass
CH3Br_halocarbon,CH3Br_emissions,n,y,y,"""(csv)""",,
