#Global Temperature (Climatic Research Unit) Anomaly from 1850,,,,,,,,,,
year,1961:1990, Smoothed,value,valuesmoothed,vtag,ctag,model,units,type,scenario
2003,0.503,0.449,0.877,0.746,tgav,temperature,HadCRUT4,degC,Observed,Historical
2004,0.445,0.46,0.819,0.757,tgav,temperature,HadCRUT4,degC,Observed,Historical
2005,0.539,0.467,0.913,0.764,tgav,temperature,HadCRUT4,degC,Observed,Historical
2006,0.495,0.472,0.869,0.769,tgav,temperature,HadCRUT4,degC,Observed,Historical
2007,0.483,0.473,0.857,0.77,tgav,temperature,HadCRUT4,degC,Observed,Historical
2008,0.388,0.473,0.762,0.77,tgav,temperature,HadCRUT4,degC,Observed,Historical
2009,0.494,0.472,0.868,0.769,tgav,temperature,HadCRUT4,degC,Observed,Historical
2010,0.547,0.471,0.921,0.768,tgav,temperature,HadCRUT4,degC,Observed,Historical
2011,0.406,0.471,0.78,0.768,tgav,temperature,HadCRUT4,degC,Observed,Historical
2012,0.448,0.471,0.822,0.768,tgav,temperature,HadCRUT4,degC,Observed,Historical
2013,0.486,0.471,0.86,0.768,tgav,temperature,HadCRUT4,degC,Observed,Historical
